0,0,2291,4582,-1,-1,-1,-1,-1,-1
1,3.86031,85,170,-1,-1,-1,-1,-1,-1
2,0.161673,1111,4082,-1,-1,-1,-1,-1,-1
3,0.327704,1111,4082,-1,-1,-1,-1,-1,-1
4,0.084013,3344,7259,-1,-1,-1,-1,-1,-1
5,1.08488,8939,45545,-1,-1,-1,-1,-1,-1
6,0.028624,8939,45545,0,0.42252,3.14159,2.27697,1e+50,3.29345e+46
8,0.800607,868,3828,0.00138994,0.633267,3.13689,1.95066,374.851,6.36929
7,0.023617,4792,21906,0.00138994,0.671278,3.13639,1.89696,374.851,5.30443
8,0.190979,2196,10046,0.00401714,0.713214,3.06799,1.85004,374.851,4.51074
9,0.050145,2196,10035,0.00994476,0.718375,3.034,1.83693,374.851,4.42078
10,0.190393,2196,10035,0.0104393,0.754089,3.04924,1.80552,63.4104,4.16081
7,0.013608,3620,16018,0.0104393,0.748409,3.04924,1.82037,63.4104,4.20821
8,0.110691,2252,10179,0.0351175,0.757235,3.06358,1.80358,37.5288,4.09705
9,0.045801,2252,10191,0.0351175,0.758978,3.02741,1.79933,37.5288,4.06742
10,0.173516,2252,10191,0.0399447,0.776623,3.02002,1.78167,37.5288,3.98927
7,0.011614,3284,14412,0.0399447,0.767528,3.04024,1.80117,37.5288,4.06653
8,0.086772,2260,10208,0.0399447,0.774917,3.01321,1.78059,37.5288,3.98882
9,0.045714,2260,10201,0.0399447,0.776685,3.01321,1.77695,37.5288,3.97796
10,0.162457,2260,10201,0.0409775,0.785668,3.01321,1.7672,37.5288,3.94269
11,0.002816,-1,-1,-1,-1,-1,-1,-1,-1
7,0.017423,4402,20249,0.0315039,0.73588,3.05831,1.83139,37.5288,4.50007
8,0.118616,2833,13213,0.0476538,0.76585,2.99149,1.80142,37.5288,4.02495
9,0.060676,2833,13222,0.0461475,0.766892,2.99149,1.79819,20.5946,4.0064
10,0.179867,2833,13222,0.0461475,0.782822,2.99149,1.78,19.7835,3.9279
7,0.013583,3901,17726,0.0461475,0.772913,2.97188,1.79783,19.7835,4.01697
8,0.091383,2842,13285,0.0461475,0.781483,2.95347,1.78205,19.7835,3.93052
9,0.061091,2842,13286,0.0461475,0.782561,2.95347,1.77893,19.7835,3.92266
10,0.176606,2842,13286,0.0461475,0.792064,2.95347,1.76712,19.7835,3.88161
11,0.003375,-1,-1,-1,-1,-1,-1,-1,-1
7,0.021821,5245,25268,0.0461475,0.72198,3.06828,1.84684,28.2665,4.47503
8,0.136216,3589,17494,0.082746,0.755739,2.99954,1.81121,16.2361,4.04254
9,0.082199,3589,17512,0.082746,0.756853,2.99954,1.80812,16.2361,4.02023
10,0.18908,3589,17512,0.11055,0.773684,2.93022,1.79052,12.1513,3.93102
7,0.015573,4663,22183,0.11055,0.761598,2.93022,1.8081,13.2627,4.03812
8,0.11322,3554,17345,0.11055,0.771671,2.93022,1.7919,11.9748,3.93315
9,0.078608,3554,17361,0.11055,0.772034,2.93022,1.78992,11.9748,3.92584
10,0.168183,3554,17361,0.11055,0.779137,2.98128,1.78133,13.0534,3.88983
11,0.004182,-1,-1,-1,-1,-1,-1,-1,-1
7,0.028069,6421,31711,0.109025,0.72529,2.96301,1.83451,13.337,4.30148
8,0.180182,4474,22542,0.11055,0.757779,2.9299,1.80599,12.1468,3.97793
9,0.110264,4474,22575,0.152861,0.759035,2.87622,1.80186,11.396,3.95766
10,0.201057,4474,22575,0.158575,0.774919,2.87622,1.78525,11.396,3.87513
7,0.019821,5635,27702,0.158575,0.763861,2.84378,1.79975,12.2874,3.97858
8,0.147992,4468,22566,0.176637,0.773368,2.81989,1.78771,9.72944,3.87859
9,0.10706,4468,22582,0.176637,0.773645,2.81989,1.78633,9.72944,3.87334
10,0.193072,4468,22582,0.177293,0.780462,2.82625,1.77787,9.70266,3.8381
8,0.132381,4390,22187,0.177293,0.780428,2.82625,1.77838,9.70266,3.83809
7,0.159345,22073,93716,0.185072,0.76115,2.74348,1.83007,9.70266,4.05198
9,0.625189,22073,94872,0.185072,0.764496,2.74348,1.82362,9.70266,3.9943
10,0.806093,22073,94872,0.185093,0.8003,2.7539,1.78471,9.70266,3.85456
9,0.557724,22073,95291,0.185093,0.800279,2.7539,1.78425,9.70266,3.84335
10,0.7124,22073,95291,0.185223,0.807872,2.74757,1.77715,9.70266,3.81644
12,0.385519,20000,93328,0.21154,0.815192,2.59832,1.77099,7.52994,3.7867
13,-1,0,-1,-1,-1,-1,-1,-1,-1
