0,0,2285,4566,-1,-1,-1,-1,-1,-1
1,5.59001,26,48,-1,-1,-1,-1,-1,-1
2,0.181512,1074,3709,-1,-1,-1,-1,-1,-1
3,0.257505,1074,3709,-1,-1,-1,-1,-1,-1
4,0.095977,3602,7034,-1,-1,-1,-1,-1,-1
5,1.35929,8925,46100,-1,-1,-1,-1,-1,-1
6,0.063626,8925,46100,0,0.448271,3.14159,2.25699,1e+50,1.62907e+48
8,0.965537,734,3137,0.0133902,0.674863,3.04213,1.9208,175.754,4.90009
7,0.023488,4661,21226,0.0133902,0.689582,3.05262,1.88188,175.754,4.52953
8,0.182088,2147,9803,0.0133902,0.731223,2.86829,1.83919,174.041,4.09548
9,0.048758,2147,9803,0.0133902,0.736279,2.86829,1.82412,174.041,4.04345
10,0.205511,2147,9803,0.0392074,0.776624,2.79546,1.78796,25.5937,3.81195
7,0.012415,3397,14890,0.0392074,0.767113,2.79546,1.8013,25.5937,3.94399
8,0.094271,2207,9964,0.231357,0.782924,2.67119,1.78315,6.8677,3.77173
9,0.046456,2207,9966,0.231357,0.7841,2.67119,1.77962,6.8677,3.76343
10,0.185389,2207,9966,0.231357,0.800875,2.71792,1.76059,7.6155,3.69858
8,0.031008,2105,9513,0.231357,0.802467,2.71792,1.76071,7.6155,3.69186
7,0.103217,11262,44080,0.367239,0.763888,2.57515,1.80718,6.95676,4.00505
9,0.39947,11262,44946,0.303287,0.762819,2.60389,1.80113,6.93332,3.94518
10,0.535441,11262,44946,0.35808,0.806835,2.61078,1.76312,6.22562,3.78782
9,0.292975,11262,45206,0.35808,0.807093,2.61078,1.76174,6.22562,3.77801
10,0.438328,11262,45206,0.386237,0.815706,2.50929,1.75405,5.80479,3.75237
9,0.347475,11262,45290,0.388285,0.815601,2.50929,1.75387,5.80479,3.74938
10,0.413537,11262,45290,0.390439,0.818066,2.50886,1.7516,5.5527,3.74209
9,0.335165,11262,45333,0.390439,0.817924,2.50886,1.75142,5.5527,3.7408
10,0.378135,11262,45333,0.394063,0.819094,2.50054,1.75018,5.5243,3.73741
12,0.141541,10000,45333,0.394063,0.819094,2.50054,1.75018,5.5243,3.73741
13,-1,0,-1,-1,-1,-1,-1,-1,-1
